categories_list,FinanceSub,CapitalSub,ProcurementSub,LegalSub,ManufacturingSub,MarketingSub,MentoringSub,NetworkingSub,PlanningSub,RDSub,RegulatorySub,SpaceSub,HRSub,industries_list,communities_list
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Forming a Business,International Regulatory Compliance,Registration, Licenses, & Permits","","Identification/Research of Foreign Markets,Obtaining Corporate Contracts,Subcontracting Opportunities","","Demographically Based,Geographically Based","","","","","","Education,Fiance & Insurance,Management,Not for Profit,Other Services,Personal Services,Tourism","African American,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Government Requirements","","Bid Matching and Preparation,Competitive Analysis,E-Commerce/Internet Marketing,Graphic Design,Networking/Exploring Exporting,Obtaining Government Contracts,Subcontracting Opportunities,Trade Education and Training","One-to-One Counseling,Peer Mentoring",Geographically Based,"","","","","","Agriculture,Education,Energy & Utilities,Fiance & Insurance,Information Technology,Personal Services,Tourism","African American,Hispanic,LGBTQ,Other,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Tax Credits","","HUBZone Certification,Locating Foreign Distributors,Market Plan Development and Training,Market Research,Networking/Exploring Exporting,Website Development",One-to-One Counseling,"Networking/Exploring Exporting,Small Business/General","","","","","","Fiance & Insurance,Manufacturing,Tourism,Transportation & Warehousing,Wholesale",Immigrant
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Insurance Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information","","Call Center Services,Competitive Analysis,Feasibility Studies,HUBZone Certification,Import/Export Certification and Licensing,International Trade Training,Market Research,Obtaining Government Contracts,Selling to Foreign Governments and Businesses",Peer Mentoring,Demographically Based,"","","","","","Agriculture,Restaurant & Hotel,Wholesale","Immigrant,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Insurance Requirements,International Regulatory Compliance","","Call Center Services,Competitive Analysis,Feasibility Studies,Locating Foreign Distributors,Market Research,Student Research/Marketing Projects,Trade Education and Training",Formal Mentoring Programs,"Industry Specific,Networking/Exploring Exporting","","","","","","Agriculture,Fiance & Insurance,High Tech Services & Manufacturing,Information Technology,Personal Services,Professional Services,Retail,Transportation & Warehousing","African American,Hispanic,Immigrant,Native American,Woman,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Insurance Requirements,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Bid Matching and Preparation,E-Commerce/Internet Marketing,Feasibility Studies,HUBZone Certification,Locating Foreign Distributors,Obtaining Corporate Contracts,Obtaining Government Contracts",Peer Mentoring,Demographically Based,"","","","","","Biosciences Services and Manufacturing,Education,Fiance & Insurance,Manufacturing,Personal Services,Professional Services,Restaurant & Hotel,Transportation & Warehousing",Woman
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,International Regulatory Compliance,Registration, Licenses, & Permits","","Bid Matching and Preparation,Call Center Services,Competitive Analysis,Feasibility Studies,International Trade Training,Locating Foreign Distributors,Networking/Exploring Exporting,Trade Education and Training","Formal Mentoring Programs,Peer Mentoring","Demographically Based,Geographically Based,Networking/Exploring Exporting","","","","","","Arts,Health & Childcare,Manufacturing,Other Services,Tourism","African American,Hispanic,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",Government Requirements,"","Competitive Analysis,E-Commerce/Internet Marketing,Market Plan Development and Training,Networking/Exploring Exporting,Student Research/Marketing Projects,Subcontracting Opportunities,Trade Education and Training,Website Development",Peer Mentoring,"Geographically Based,Industry Specific,Networking/Exploring Exporting","","","","","","Agriculture,Education,Energy & Utilities,Health & Childcare,High Tech Services & Manufacturing,Management,Other Services,Personal Services","Asian,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Patent, Trademark, & Copyright Information,State and Federal Tax Training and Registration","","Bid Matching and Preparation,Call Center Services,E-Commerce/Internet Marketing,Graphic Design,Identification/Research of Foreign Markets,Networking/Exploring Exporting,Student Research/Marketing Projects",One-to-One Counseling,Demographically Based,"","","","","","Energy & Utilities,Health & Childcare,High Tech Services & Manufacturing,Personal Services,Wholesale","African American,LGBTQ,Native American,Veteran,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Forming a Business,International Regulatory Compliance,State and Federal Tax Training and Registration","","E-Commerce/Internet Marketing,Feasibility Studies,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,International Trade Training,Locating Foreign Distributors,Market Plan Development and Training,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects",One-to-One Counseling,"Demographically Based,Networking/Exploring Exporting,Small Business/General","","","","","","Agriculture,Energy & Utilities,Information Technology,Professional Services,Real Estate,Restaurant & Hotel","African American,Hispanic,Woman"
